Frequency (Hz)	Level (dB)
86.132813	-63.373608
172.265625	-69.895935
258.398438	-71.080238
344.531250	-78.094528
430.664063	-83.771248
516.796875	-90.105743
602.929688	-88.753983
689.062500	-89.411751
775.195313	-89.375290
861.328125	-87.153282
947.460938	-88.379417
1033.593750	-87.604248
1119.726563	-86.246918
1205.859375	-89.936485
1291.992188	-88.752197
1378.125000	-85.417915
1464.257813	-83.310799
1550.390625	-86.185715
1636.523438	-90.627617
1722.656250	-89.877045
1808.789063	-88.786980
1894.921875	-89.284920
1981.054688	-90.135048
2067.187500	-89.184433
2153.320313	-87.400826
2239.453125	-88.047104
2325.585938	-91.926903
2411.718750	-95.259521
2497.851563	-93.622360
2583.984375	-94.231758
2670.117188	-97.083282
2756.250000	-100.715622
2842.382813	-105.914528
2928.515625	-108.872314
3014.648438	-108.353668
3100.781250	-106.200027
3186.914063	-104.463257
3273.046875	-103.253784
3359.179688	-103.919899
3445.312500	-105.344597
3531.445313	-105.561707
3617.578125	-102.571312
3703.710938	-103.925308
3789.843750	-106.373871
3875.976563	-107.755989
3962.109375	-108.134926
4048.242188	-105.539833
4134.375000	-97.816185
4220.507813	-90.245735
4306.640625	-86.162804
4392.773438	-85.908394
4478.906250	-88.986038
4565.039063	-94.841423
4651.171875	-99.010880
4737.304688	-102.067543
4823.437500	-105.360458
4909.570313	-110.986244
4995.703125	-114.003700
5081.835938	-111.709671
5167.968750	-108.243187
5254.101563	-105.564873
5340.234375	-104.177818
5426.367188	-103.274292
5512.500000	-101.046921
5598.632813	-100.326500
5684.765625	-100.731743
5770.898438	-102.701607
5857.031250	-102.935509
5943.164063	-101.221825
6029.296875	-102.471832
6115.429688	-106.940186
6201.562500	-114.709122
6287.695313	-110.369499
6373.828125	-100.975075
6459.960938	-95.571846
6546.093750	-93.585495
6632.226563	-93.542435
6718.359375	-93.841957
6804.492188	-94.898468
6890.625000	-97.571365
6976.757813	-101.048439
7062.890625	-103.736603
7149.023438	-105.154350
7235.156250	-106.430130
7321.289063	-108.460487
7407.421875	-111.525482
7493.554688	-118.569923
7579.687500	-120.937683
7665.820313	-115.993416
7751.953125	-106.586288
7838.085938	-98.772812
7924.218750	-93.799461
8010.351563	-90.080574
8096.484375	-87.852318
8182.617188	-86.977287
8268.750000	-87.403519
8354.882813	-89.875710
